iter	Passed	Remaining
0	1	161
1	3	148
2	4	146
3	5	136
4	7	136
5	8	136
6	10	137
7	11	135
8	13	137
9	15	136
10	16	133
11	18	133
12	19	129
13	20	127
14	22	126
15	23	124
16	25	122
17	26	120
18	27	119
19	29	117
20	30	115
21	32	114
22	33	113
23	35	111
24	36	110
25	38	109
26	39	107
27	41	105
28	42	104
29	43	102
30	45	101
31	46	99
32	48	98
33	49	96
34	51	95
35	53	94
36	54	93
37	56	91
38	57	89
39	58	88
40	60	86
41	60	84
42	62	82
43	63	80
44	64	79
45	66	77
46	67	76
47	69	74
48	70	73
49	71	71
50	73	70
51	74	68
52	76	67
53	77	66
54	78	64
55	80	63
56	81	61
57	83	60
58	85	59
59	86	57
60	88	56
61	89	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	99	44
69	101	43
70	102	41
71	104	40
72	105	39
73	106	37
74	109	36
75	111	35
76	114	34
77	117	33
78	119	31
79	121	30
80	123	28
81	125	27
82	127	26
83	128	24
84	130	23
85	132	21
86	135	20
87	138	18
88	140	17
89	142	15
90	144	14
91	146	12
92	148	11
93	150	9
94	152	8
95	154	6
96	156	4
97	158	3
98	160	1
99	162	0
