iter	Passed	Remaining
0	129	129469
1	133	66450
2	136	45414
3	141	35153
4	144	28748
5	148	24571
6	150	21337
7	152	18906
8	154	17040
9	157	15589
10	159	14365
11	162	13354
12	164	12501
13	166	11757
14	168	11075
15	171	10518
16	172	9993
17	174	9545
18	176	9126
19	178	8735
20	179	8374
21	180	8043
22	182	7746
23	183	7465
24	184	7200
25	185	6954
26	186	6729
27	187	6526
28	189	6335
29	190	6151
30	191	5988
31	192	5833
32	194	5688
33	195	5548
34	196	5411
35	197	5284
36	198	5166
37	199	5055
38	200	4947
39	201	4846
40	202	4747
41	204	4653
42	205	4568
43	206	4484
44	207	4405
45	208	4328
46	210	4262
47	211	4197
48	212	4128
49	213	4063
50	214	3999
51	215	3936
52	217	3880
53	218	3824
54	219	3768
55	220	3718
56	221	3665
57	222	3615
58	223	3572
59	225	3525
60	226	3480
61	227	3438
62	228	3397
63	229	3357
64	230	3319
65	232	3284
66	233	3246
67	234	3211
68	235	3177
69	236	3143
70	237	3109
71	238	3076
72	239	3044
73	241	3016
74	242	2985
75	243	2957
76	244	2928
77	245	2906
78	246	2878
79	248	2853
80	249	2828
81	250	2802
82	250	2772
83	251	2747
84	253	2726
85	254	2704
86	255	2681
87	256	2659
88	257	2637
89	258	2617
90	259	2596
91	261	2576
92	262	2556
93	263	2537
94	264	2519
95	265	2501
96	266	2483
97	267	2465
98	268	2447
99	269	2429
100	271	2413
101	272	2397
102	273	2380
103	274	2365
104	275	2351
105	277	2337
106	278	2322
107	279	2307
108	280	2292
109	282	2285
110	283	2272
111	285	2261
112	286	2247
113	287	2233
114	288	2220
115	289	2208
116	290	2194
117	291	2181
118	292	2168
119	294	2156
120	295	2143
121	296	2132
122	297	2121
123	298	2109
124	299	2098
125	301	2093
126	303	2083
127	304	2071
128	305	2061
129	306	2050
130	307	2038
131	308	2029
132	309	2018
133	310	2007
134	311	1996
135	312	1986
136	313	1977
137	314	1966
138	315	1957
139	317	1947
140	318	1942
141	319	1931
142	321	1924
143	322	1916
144	323	1908
145	324	1899
146	325	1890
147	326	1882
148	327	1873
149	329	1864
150	330	1855
151	331	1847
152	332	1839
153	333	1831
154	334	1822
155	335	1815
156	336	1807
157	337	1801
158	339	1794
159	340	1787
160	341	1777
161	342	1769
162	343	1761
163	344	1754
164	345	1747
165	346	1740
166	347	1733
167	348	1725
168	349	1719
169	350	1712
170	351	1705
171	352	1698
172	353	1691
173	355	1687
174	356	1681
175	357	1675
176	358	1668
177	359	1661
178	360	1655
179	362	1649
180	363	1644
181	364	1638
182	365	1632
183	366	1626
184	367	1619
185	368	1614
186	370	1608
187	371	1602
